id,name,price,description,image_url,quantity,category
183,Product_0,,Description of product 0,http://example.com/image_0.jpg,79.0,
295,Product_1,961.68,Description of product 1,http://example.com/image_1.jpg,45.0,Home
122,Product_2,1700.04,Description of product 2,http://example.com/image_2.jpg,85.0,Sports
232,Product_3,1681.06,Description of product 3,http://example.com/image_3.jpg,62.0,Home
141,Product_4,77.88,Description of product 4,,97.0,Electronics
341,Product_5,1700.71,Description of product 5,http://example.com/image_5.jpg,42.0,Books
493,Product_6,1927.13,Description of product 6,http://example.com/image_6.jpg,34.0,Home
19,Product_7,863.64,,http://example.com/image_7.jpg,45.0,Books
275,Product_8,1309.23,,http://example.com/image_8.jpg,,Electronics
180,Product_9,541.42,,http://example.com/image_9.jpg,,Sports
215,,,Description of product 10,,81.0,Home
443,Product_11,846.08,Description of product 11,http://example.com/image_11.jpg,3.0,Sports
270,Product_12,1656.45,Description of product 12,http://example.com/image_12.jpg,66.0,Electronics
125,Product_13,970.2,,http://example.com/image_13.jpg,54.0,Sports
187,Product_14,1633.4,Description of product 14,http://example.com/image_14.jpg,12.0,Electronics
167,Product_15,1200.95,Description of product 15,http://example.com/image_15.jpg,,Clothing
389,Product_16,595.47,Description of product 16,http://example.com/image_16.jpg,13.0,
190,Product_17,,Description of product 17,http://example.com/image_17.jpg,28.0,Electronics
28,Product_18,1056.18,Description of product 18,http://example.com/image_18.jpg,82.0,Books
205,Product_19,,,http://example.com/image_19.jpg,62.0,
240,Product_20,262.64,Description of product 20,http://example.com/image_20.jpg,94.0,Electronics
377,Product_21,538.16,Description of product 21,http://example.com/image_21.jpg,49.0,Clothing
233,Product_22,242.22,Description of product 22,,92.0,Home
347,Product_23,1807.79,,,,Sports
257,Product_24,625.2,Description of product 24,http://example.com/image_24.jpg,62.0,Home
131,Product_25,95.07,Description of product 25,,57.0,Books
311,,272.41,Description of product 26,http://example.com/image_26.jpg,51.0,Electronics
216,Product_27,,Description of product 27,http://example.com/image_27.jpg,57.0,Books
171,Product_28,1567.42,Description of product 28,http://example.com/image_28.jpg,57.0,Electronics
222,Product_29,,,http://example.com/image_29.jpg,86.0,Books
430,Product_30,301.04,Description of product 30,http://example.com/image_30.jpg,67.0,Electronics
66,Product_31,73.27,Description of product 31,http://example.com/image_31.jpg,45.0,Home
109,Product_32,1524.16,Description of product 32,http://example.com/image_32.jpg,23.0,Home
59,Product_33,896.56,Description of product 33,http://example.com/image_33.jpg,6.0,Sports
285,Product_34,,Description of product 34,http://example.com/image_34.jpg,79.0,Home
56,Product_35,756.63,Description of product 35,http://example.com/image_35.jpg,55.0,Sports
327,Product_36,450.98,Description of product 36,http://example.com/image_36.jpg,,Clothing
363,Product_37,1995.11,Description of product 37,http://example.com/image_37.jpg,5.0,Books
391,Product_38,962.04,Description of product 38,http://example.com/image_38.jpg,43.0,Home
48,Product_39,1379.82,Description of product 39,http://example.com/image_39.jpg,17.0,Home
345,Product_41,920.21,Description of product 41,http://example.com/image_41.jpg,51.0,Sports
379,Product_42,910.78,,http://example.com/image_42.jpg,84.0,Clothing
208,,,Description of product 44,http://example.com/image_44.jpg,61.0,Sports
296,Product_45,860.64,Description of product 45,http://example.com/image_45.jpg,10.0,Home
438,Product_47,408.09,Description of product 47,http://example.com/image_47.jpg,9.0,Sports
431,Product_48,1074.39,Description of product 48,http://example.com/image_48.jpg,35.0,Electronics
262,Product_49,1498.16,Description of product 49,http://example.com/image_49.jpg,40.0,Sports
100,Product_50,1566.71,Description of product 50,http://example.com/image_50.jpg,97.0,
287,Product_51,1254.5,Description of product 51,http://example.com/image_51.jpg,98.0,Books
158,Product_53,1696.66,,http://example.com/image_53.jpg,25.0,
339,Product_55,,Description of product 55,http://example.com/image_55.jpg,,Books
120,Product_57,828.26,Description of product 57,http://example.com/image_57.jpg,31.0,Electronics
301,Product_58,676.6,Description of product 58,http://example.com/image_58.jpg,100.0,Clothing
392,Product_59,51.91,Description of product 59,http://example.com/image_59.jpg,30.0,Sports
458,Product_60,,Description of product 60,http://example.com/image_60.jpg,82.0,
102,Product_61,1482.98,Description of product 61,http://example.com/image_61.jpg,42.0,Books
349,Product_62,1868.34,Description of product 62,http://example.com/image_62.jpg,,Home
211,Product_63,1127.85,Description of product 63,http://example.com/image_63.jpg,38.0,
204,Product_64,,Description of product 64,http://example.com/image_64.jpg,97.0,Sports
119,Product_65,1931.34,Description of product 65,http://example.com/image_65.jpg,30.0,Clothing
371,,,Description of product 66,,51.0,Home
53,Product_67,607.23,Description of product 67,http://example.com/image_67.jpg,4.0,Books
350,Product_68,,Description of product 68,http://example.com/image_68.jpg,,Electronics
272,Product_70,1084.18,Description of product 70,http://example.com/image_70.jpg,,Electronics
484,Product_71,,Description of product 71,http://example.com/image_71.jpg,45.0,Books
130,Product_72,293.33,Description of product 72,http://example.com/image_72.jpg,4.0,Home
425,Product_73,1403.11,Description of product 73,http://example.com/image_73.jpg,71.0,Sports
230,Product_74,1852.33,Description of product 74,,67.0,Electronics
30,Product_76,789.24,Description of product 76,http://example.com/image_76.jpg,24.0,Sports
329,Product_77,1804.22,Description of product 77,,85.0,Home
